damage_mode,pct,accuracy,f1,rec95
block,0.1,0.9534883720930232,0.9629629629629628,1.0
block,0.2,0.9651162790697676,0.9724770642201837,1.0
block,0.4,0.9651162790697676,0.972972972972973,1.0
block,0.6,0.9651162790697676,0.9724770642201837,1.0
random,0.1,0.9534883720930232,0.9629629629629628,1.0
random,0.2,0.9651162790697676,0.9724770642201837,1.0
random,0.4,0.9651162790697676,0.972972972972973,1.0
random,0.6,0.9534883720930232,0.9642857142857144,1.0
