damage_mode,pct,rmse,mae,rec105
block,0.1,0.5330567770413801,0.373275488615036,10.0
block,0.2,0.5358572218579599,0.3794595599174499,12.0
block,0.4,0.5356843111190085,0.3778041899204254,12.0
block,0.6,0.5284802658308829,0.3704889118671417,12.0
random,0.1,0.5294735603053218,0.3707550466060638,
random,0.2,0.5312233244986606,0.3734726905822754,12.0
random,0.4,0.5314294568058482,0.3731070756912231,14.0
random,0.6,0.5332386717632572,0.3717366755008697,15.0
