layer_position,accuracy,f1,recovery_epoch_95
first,0.9651162790697676,0.97196261682243,1.0
first,0.9651162790697676,0.97196261682243,1.0
last,0.9302325581395348,0.9473684210526316,1.0
last,0.9302325581395348,0.9473684210526316,1.0
middle,0.9534883720930232,0.9636363636363636,1.0
middle,0.9534883720930232,0.9636363636363636,1.0
