timestamp,phase,dataset,task,stage,layer_seq_index,pct,repeats,accuracy,f1,epochs,best_ckpt,fig_loss,fig_metric,mae,rmse,neuron,recovery_epoch_95p,neurons,weight_mode,neuron_index,recovery_epoch_95,recovery_epoch_105pct
20250813-124454,healing,breast_cancer,clf,pair_healed_short,0,,,0.9534883720930232,0.9629629629629628,6.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_firstHidden_pairN40_45_short_20250813-124452_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_firstHidden_pairN40_45_short_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_firstHidden_pairN40_45_short_accuracy.png,,,,1.0,"(40, 45)",,,,
20250813-124454,healing,breast_cancer,clf,pair_healed_long,0,,,0.9534883720930232,0.9629629629629628,21.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_firstHidden_pairN40_45_long_20250813-124452_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_firstHidden_pairN40_45_long_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_firstHidden_pairN40_45_long_accuracy.png,,,,1.0,"(40, 45)",,,,
20250813-125551,healing,breast_cancer,clf,middle_single_baseline,3,,,0.9534883720930232,0.9629629629629628,,,,,,,5.0,,,,,,
20250813-125551,healing,breast_cancer,clf,middle_single_post_damage,3,,,0.9418604651162792,0.9541284403669724,,,,,,,5.0,,,,,,
20250813-125551,healing,breast_cancer,clf,middle_single_healed_short,3,,,0.9534883720930232,0.9629629629629628,6.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_middle_singleN5_short_20250813-125550_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_middle_singleN5_short_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_middle_singleN5_short_accuracy.png,,,5.0,1.0,,,,,
20250813-125551,healing,breast_cancer,clf,middle_single_healed_long,3,,,0.9534883720930232,0.9629629629629628,21.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_middle_singleN5_long_20250813-125551_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_middle_singleN5_long_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_middle_singleN5_long_accuracy.png,,,5.0,1.0,,,,,
20250813-130210,healing,breast_cancer,clf,middle_weights_random_baseline,3,0.4,10.0,0.9534883720930232,0.9629629629629628,,,,,,,,,,random,,,
20250813-130210,healing,breast_cancer,clf,middle_weights_random_post_damage,3,0.4,10.0,0.5581395348837209,0.4722222222222222,,,,,,,,,,random,,,
20250813-130210,healing,breast_cancer,clf,middle_weights_random_healed_short,3,0.4,10.0,0.6395348837209303,0.7769784172661871,15.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_middle_weights_random_p40_r10_short_20250813-130205_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_middle_weights_random_p40_r10_short_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_middle_weights_random_p40_r10_short_accuracy.png,,,,,,random,,,
20250813-130210,healing,breast_cancer,clf,middle_weights_random_healed_long,3,0.4,10.0,0.9651162790697676,0.9724770642201837,140.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_middle_weights_random_p40_r10_long_20250813-130206_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_middle_weights_random_p40_r10_long_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_middle_weights_random_p40_r10_long_accuracy.png,,,,31.0,,random,,,
