timestamp,phase,dataset,task,damage_type,layer_seq_index,pct,repeats_total,repeat_eval,ckpt,metric,baseline_metric,value,delta_from_baseline,f1,mae
20250813-110315,damage_immediate,breast_cancer,clf,neurons,0,0.2,10,9,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.8604651162790697,0.0930232558139535,0.896551724137931,
20250813-110315,damage_immediate,breast_cancer,clf,neurons,0,0.2,10,10,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.8837209302325582,0.0697674418604651,0.912280701754386,
20250813-110315,damage_immediate,breast_cancer,clf,neurons,0,0.4,5,0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.9534883720930232,0.0,0.9629629629629628,
20250813-110315,damage_immediate,breast_cancer,clf,neurons,0,0.4,5,1,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.9302325581395348,0.0232558139534884,0.9473684210526316,
20250813-110315,damage_immediate,breast_cancer,clf,neurons,0,0.4,5,2,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.8953488372093024,0.0581395348837209,0.9230769230769232,
20250813-110315,damage_immediate,breast_cancer,clf,neurons,0,0.4,5,3,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.9069767441860463,0.0465116279069768,0.9310344827586208,
20250813-110315,damage_immediate,breast_cancer,clf,neurons,0,0.4,5,4,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.8023255813953488,0.1511627906976744,0.8380952380952381,
20250813-110315,damage_immediate,breast_cancer,clf,neurons,0,0.4,5,5,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.7906976744186046,0.1627906976744186,0.8269230769230769,
20250813-110315,damage_immediate,breast_cancer,clf,neurons,0,0.4,10,0,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.9534883720930232,0.0,0.9629629629629628,
20250813-110315,damage_immediate,breast_cancer,clf,neurons,0,0.4,10,1,c:\Users\Admin\Desktop\ffnn-healing\models\clf_breast_cancer_baseline_20250813-103737_best.pt,accuracy,0.9534883720930232,0.9302325581395348,0.0232558139534884,0.9473684210526316,
